# 更新标记: 2025-08-02 04:13:51
央视频道,#genre#
CCTV1,http://go.bkpcp.top/mg/cctv1
CCTV2,http://go.bkpcp.top/mg/cctv2
CCTV3,rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000391
CCTV4,http://go.bkpcp.top/mg/cctv4
CCTV5,http://221.7.175.154:8445/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://go.bkpcp.top/mg/cctv5p
CCTV6,http://go.bkpcp.top/mg/cctv6
CCTV7,http://go.bkpcp.top/mg/cctv7
CCTV8,http://go.bkpcp.top/mg/cctv8
CCTV9,http://go.bkpcp.top/mg/cctv9
CCTV10,http://go.bkpcp.top/mg/cctv10
CCTV11,http://go.bkpcp.top/mg/cctv11
CCTV12,http://go.bkpcp.top/mg/cctv12
CCTV13,rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000514
CCTV14,http://go.bkpcp.top/mg/cctv14
CCTV15,http://go.bkpcp.top/mg/cctv15
CCTV16,http://go.bkpcp.top/mg/cctv16
CCTV17,http://go.bkpcp.top/mg/cctv17
CCTV少儿,http://api.mytv666.top/api/fh6.php?t=少儿频道&id=CCTV少儿
CCTV风云剧场,http://n1.gzbody.com:85/rtp/239.253.43.16:5146
CCTV兵器科技,http://n1.gzbody.com:85/rtp/239.253.43.9:5146
CCTV第一剧场,http://n1.gzbody.com:85/rtp/239.253.43.15:5146
CCTV央视台球,http://n1.gzbody.com:85/rtp/239.253.43.11:5146
CCTV风云足球,https://epg.pw/stream/ac8062ec9484078061d3bef507c15a423ac57ae4144e3fcc4b0a198dd420f911.m3u8
CCTV高尔夫网球,http://n1.gzbody.com:85/rtp/239.253.43.12:5146
CCTV老故事,http://8.138.7.223/tv/migu3.php?id=lgs
CCTV世界地理,http://n1.gzbody.com:85/rtp/239.253.43.7:5146
CCTV风云音乐,http://n1.gzbody.com:85/rtp/239.253.43.6:5146
CCTV女性时尚,http://n1.gzbody.com:85/rtp/239.253.43.8:5146
CCTV怀旧剧场,http://n1.gzbody.com:85/rtp/239.253.43.5:5146
CCTV文化精品,http://n1.gzbody.com:85/rtp/239.253.43.13:5146
CCTV卫生健康,http://n1.gzbody.com:85/rtp/239.77.0.212:5146
CCTV发现之旅,http://8.138.7.223/tv/migu3.php?id=fxzl
CCTV电视指南,http://n1.gzbody.com:85/rtp/239.253.43.10:5146
CCTV16(4K),http://115.58.140.72:5555/nptv/cctv16.m3u8
CCTV4K,http://115.58.140.72:5555/nptv/cctv4k.m3u8
CCTV8K,http://115.58.140.72:5555/nptv/cctv8k.m3u8
CCTV20241,https://p2.bdstatic.com/rtmp.liveshow.lss-user.baidubce.com/live/stream_bduid_6488563992_8982723413/merged_1707497046297_88536_25144_41936.m3u8
CCTV+1,https://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL1.smil/playlist.m3u8
CCTV中视购物,http://58.221.214.82:9901/tsfile/live/0013_2.m3u8
CCTV兵器,http://120.238.94.10:9901/tsfile/live/1096_1.m3u8
CCTVNEWS,http://58.19.43.46:9901/tsfile/live/1002_1.m3u8
CCTV中学生,http://8.138.7.223/tv/migu3.php?id=zxs
CCTV西班牙语,http://8.138.7.223/tv/migu3.php?id=cgtne
CCTV法语,http://8.138.7.223/tv/migu3.php?id=cgtnf
CCTV阿拉伯语,http://8.138.7.223/tv/migu3.php?id=cgtna
CCTV俄语,http://8.138.7.223/tv/migu3.php?id=cgtnr
CCTV-NEWS,http://183.11.239.36:808/hls/34/index.m3u8
CCTV电视剧,https://live.iill.top/youtube/@CCTVDrama
CCTVnews,http://1b6467f415.iok.la:9931/tsfile/live/1036_1.m3u8
CCTVCCTN-国际,http://111.14.181.15:9901/tsfile/live/0017_1.m3u8


卫视频道,#genre#
东方卫视,rtsp://111.48.34.138:1554/170000004112/99180001000000060000000000000198
浙江卫视,rtsp://111.48.34.138:1554/170000004112/99180001000000060000000000000195
湖南卫视,rtsp://111.48.34.138:1554/170000004112/00000001000000060000000000000174
江苏卫视,rtsp://111.48.34.138:1554/170000004112/00000001000000060000000000000177
安徽卫视,http://221.7.175.154:8445/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视,http://106.115.24.56:34567/bst/dnwshd@4000000.m3u8
云南卫视,http://106.115.24.56:34567/bst/ynwshd4m@4000000.m3u8
人间卫视,http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u
兵团卫视,http://go.bkpcp.top/mg/btws
内蒙古卫视,http://live.catvod.com/catvod.php?id=nmws
农林卫视,http://112.46.105.20:8009/hls/27/index.m3u8
凤凰卫视,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzw
北京卫视,rtsp://111.48.34.138:1554/170000004112/00000001000000060000000000000173
南方卫视,http://kkk.888.3116598.xyz/api.php?n=tttt&id=vPfSAx&tk=FgM0vQMejxvG
厦门卫视,http://110.80.17.38:9999/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
吉林卫视,http://221.7.175.154:8445/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://221.7.175.154:8445/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0
大湾区卫视,http://api.mytv666.top/api/fh6.php?t=卫视频道&id=大湾区卫视
天津卫视,http://221.7.175.154:8445/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0
宁夏卫视,http://106.115.24.56:34567/bst/nxws@1300000.m3u8
安多卫视,https://stream1.freetv.fun/52d0df257c5c3cec42f2ae19268dbbc261256ff391b27bd83553bea941d0c186.m3u8
山东卫视,http://go.bkpcp.top/mg/sdws
山东教育卫视,http://test1.live.sdetv.com.cn/live/dianshizhibo/playlist.m3u8
山西卫视,http://221.7.175.154:8445/tsfile/live/0118_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://go.bkpcp.top/mg/gdws
广西卫视,http://221.7.175.154:8445/tsfile/live/0113_2.m3u8?key=txiptv&playlive=1&authid=0
康巴卫视,http://139.196.151.191:2051/rtp/239.45.1.251:5140
延边卫视,http://58.245.255.38:9999/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
新疆卫视,http://106.115.24.56:34567/bst/xjws@1300000.m3u8
江西卫视,http://go.bkpcp.top/mg/jxws
河北卫视,http://221.7.175.154:8445/tsfile/live/0117_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://go.bkpcp.top/mg/hnws
海南卫视,http://go.bkpcp.top/mg/hinws
深圳卫视,http://221.7.175.154:8445/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://go.bkpcp.top/mg/hubws
